Date,NIFTY50,ACC.NS,GODREJIND.NS,HINDZINC.NS,IDEA.NS,IGL.NS,LUPIN.NS,MAHABANK.NS,MGL.NS,PAGEIND.NS,TATACHEM.NS,HAVELLS.NS,HAL.NS,ICICIGI.NS,ICICIPRULI.NS,AMBUJACEM.NS,IOC.NS,NAUKRI.NS,INDIGO.NS,JINDALSTEL.NS,BANKBARODA.NS
2019-01-23,10831.5,1429.8499755859375,526.0,259.3999938964844,20.440649032592773,285.6499938964844,864.5999755859375,14.550000190734863,904.5499877929688,22808.849609375,300.36126708984375,696.2000122070312,377.125,832.25,305.3999938964844,212.39999389648438,90.73332977294922,1729.050048828125,1109.300048828125,139.5,111.30000305175781
2019-01-24,10849.7998046875,1419.699951171875,522.4500122070312,257.95001220703125,20.531095504760742,282.8999938964844,868.4000244140625,13.949999809265137,907.3499755859375,23172.94921875,303.86639404296875,702.5999755859375,373.95001220703125,848.4000244140625,303.79998779296875,211.1999969482422,91.19999694824219,1715.5999755859375,1178.550048828125,141.64999389648438,113.0
2019-01-25,10780.5498046875,1375.0,516.7000122070312,250.39999389648438,19.807531356811523,272.6000061035156,865.0499877929688,14.050000190734863,907.25,22758.19921875,300.8903503417969,708.1500244140625,371.0249938964844,855.4500122070312,299.3999938964844,202.35000610351562,91.83333587646484,1691.050048828125,1161.75,137.39999389648438,110.19999694824219
2019-01-28,10661.5498046875,1357.25,512.0,251.10000610351562,18.72218894958496,272.6499938964844,865.25,13.75,901.5,22370.80078125,291.6315002441406,698.7000122070312,366.3999938964844,817.8499755859375,291.3500061035156,199.75,92.03333282470703,1673.5999755859375,1171.300048828125,132.25,109.1500015258789
2019-01-29,10652.2001953125,1359.6500244140625,510.54998779296875,259.6000061035156,18.51114845275879,271.45001220703125,860.6500244140625,13.850000381469727,920.0999755859375,22826.75,294.1225891113281,700.9500122070312,362.95001220703125,831.7000122070312,294.3999938964844,200.85000610351562,91.56666564941406,1689.300048828125,1184.6500244140625,129.75,113.75
2019-01-30,10651.7998046875,1386.5999755859375,494.75,261.6499938964844,18.420703887939453,278.6000061035156,866.9000244140625,14.100000381469727,911.7999877929688,23157.69921875,299.9424133300781,703.3499755859375,358.3999938964844,855.7999877929688,292.1499938964844,204.64999389648438,89.69999694824219,1705.25,1174.75,129.9499969482422,113.69999694824219
2019-01-31,10830.9501953125,1423.3499755859375,503.29998779296875,260.20001220703125,18.14936637878418,283.54998779296875,875.7000122070312,14.550000190734863,919.9500122070312,23370.0,297.2970275878906,713.4500122070312,355.45001220703125,880.25,285.8500061035156,209.89999389648438,91.23332977294922,1747.3499755859375,1187.800048828125,135.10000610351562,112.44999694824219
2019-02-01,10893.650390625,1415.550048828125,505.6000061035156,254.6999969482422,18.631742477416992,286.8999938964844,883.0999755859375,14.850000381469727,927.4500122070312,24039.05078125,294.5193786621094,737.1500244140625,352.75,880.0999755859375,285.79998779296875,212.5,91.46666717529297,1730.3499755859375,1174.0999755859375,129.6999969482422,111.0999984741211
2019-02-04,10912.25,1406.0999755859375,506.5,254.6999969482422,18.119218826293945,294.70001220703125,855.9000244140625,14.149999618530273,940.5999755859375,24201.44921875,289.8238220214844,735.5499877929688,345.04998779296875,883.5999755859375,284.75,212.5,90.5999984741211,1727.75,1160.8499755859375,130.85000610351562,110.30000305175781
2019-02-05,10934.349609375,1388.800048828125,489.70001220703125,254.8000030517578,18.36040687561035,305.54998779296875,837.7000122070312,13.699999809265137,960.6500244140625,24234.55078125,284.6873779296875,730.7999877929688,337.375,884.5999755859375,286.29998779296875,209.25,89.16666412353516,1760.949951171875,1174.4000244140625,129.10000610351562,107.94999694824219
