Date,Sensex,WIPRO.BO,BAJAJ-AUTO.BO,HDFCBANK.BO,HEROMOTOCO.BO,TCS.BO,INFY.BO,BAJFINANCE.BO,MARUTI.BO,RELIANCE.BO,TATAMOTORS.BO,ZOMATO.BO,ZEEL.BO,TVSMOTOR.BO,PIDILITIND.BO,NAUKRI.BO,IRCTC.BO,DLF.BO,COLPAL.BO,MFSL.BO,BANKBARODA.BO
2020-08-24,38799.078125,272.70001220703125,3036.60009765625,1116.800048828125,3014.050048828125,2247.949951171875,947.2000122070312,3490.64990234375,7081.75,2096.050048828125,121.19999694824219,,201.5,448.29998779296875,1468.4000244140625,3238.14990234375,267.5899963378906,157.64999389648438,1418.300048828125,549.7000122070312,48.400001525878906
2020-08-25,38843.87890625,269.8999938964844,3010.0,1119.8499755859375,2971.050048828125,2242.25,938.3499755859375,3643.89990234375,7110.9501953125,2082.0,127.05000305175781,,199.85000610351562,445.79998779296875,1475.25,3285.0,268.3999938964844,156.39999389648438,1413.800048828125,620.5999755859375,48.650001525878906
2020-08-26,39073.921875,272.0,3082.89990234375,1117.699951171875,3161.949951171875,2254.64990234375,950.7999877929688,3644.39990234375,7007.0498046875,2136.85009765625,137.85000610351562,,211.4499969482422,467.54998779296875,1466.550048828125,3250.449951171875,273.8500061035156,160.0500030517578,1410.0999755859375,619.5499877929688,48.45000076293945
2020-08-27,39113.46875,271.8999938964844,3040.800048828125,1111.949951171875,3141.14990234375,2247.89990234375,946.4000244140625,3631.75,7104.35009765625,2111.699951171875,144.35000610351562,,209.64999389648438,459.1000061035156,1469.75,3277.949951171875,273.510009765625,175.9499969482422,1404.800048828125,603.5,48.70000076293945
2020-08-28,39467.30859375,271.95001220703125,3013.10009765625,1115.0,3059.35009765625,2237.10009765625,934.8499755859375,3672.25,7098.89990234375,2115.60009765625,142.6999969482422,,213.8000030517578,449.5,1446.0,3388.85009765625,273.3800048828125,172.9499969482422,1390.75,598.2999877929688,51.650001525878906
2020-08-31,38628.2890625,271.3999938964844,2971.35009765625,1115.199951171875,3007.10009765625,2256.35009765625,928.5,3489.449951171875,6837.89990234375,2078.550048828125,143.1999969482422,,203.5,432.70001220703125,1402.5,3259.699951171875,268.5400085449219,158.25,1364.050048828125,587.5,48.900001525878906
2020-09-01,38900.80078125,271.75,2958.800048828125,1127.3499755859375,2995.25,2245.300048828125,914.2999877929688,3643.75,6909.14990234375,2087.550048828125,143.8000030517578,,201.8000030517578,440.6000061035156,1425.4000244140625,3301.050048828125,270.239990234375,160.85000610351562,1379.4000244140625,603.0,47.54999923706055
2020-09-02,39086.03125,273.79998779296875,2881.35009765625,1134.199951171875,2946.0,2264.800048828125,924.0499877929688,3670.300048828125,6921.35009765625,2128.60009765625,150.39999389648438,,218.1999969482422,437.5,1413.949951171875,3480.800048828125,271.8599853515625,161.14999389648438,1390.699951171875,595.5,47.29999923706055
2020-09-03,38990.94140625,282.6499938964844,2895.10009765625,1130.699951171875,2941.25,2299.550048828125,935.4000244140625,3617.39990234375,7071.60009765625,2112.14990234375,151.75,,220.35000610351562,435.20001220703125,1448.5,3432.60009765625,273.7099914550781,158.5500030517578,1381.699951171875,614.4000244140625,47.29999923706055
2020-09-04,38357.1796875,276.0,2882.10009765625,1119.800048828125,2914.75,2289.75,919.25,3595.949951171875,7191.5,2077.39990234375,147.75,,220.39999389648438,433.54998779296875,1436.25,3337.64990234375,273.1099853515625,154.89999389648438,1362.5,593.7999877929688,45.900001525878906
2020-09-07,38417.23046875,278.6499938964844,2899.550048828125,1109.300048828125,2859.75,2327.39990234375,924.6500244140625,3504.449951171875,7210.10009765625,2082.39990234375,149.35000610351562,,223.89999389648438,439.8500061035156,1441.25,3291.89990234375,282.8800048828125,152.25,1368.6500244140625,591.0999755859375,46.29999923706055
2020-09-08,38365.3515625,282.25,2900.64990234375,1112.050048828125,2862.449951171875,2348.949951171875,940.0499877929688,3500.75,7225.64990234375,2107.050048828125,142.25,,213.6999969482422,433.1499938964844,1446.75,3313.75,275.6099853515625,150.1999969482422,1363.050048828125,583.0999755859375,45.29999923706055
2020-09-09,38193.921875,282.75,2917.0,1095.699951171875,2903.35009765625,2323.75,928.2999877929688,3423.800048828125,7214.2001953125,2161.25,140.25,,221.39999389648438,437.8999938964844,1458.449951171875,3276.699951171875,269.8500061035156,150.1999969482422,1365.5999755859375,594.8499755859375,44.45000076293945
2020-09-10,38840.3203125,284.95001220703125,2911.449951171875,1090.6500244140625,2948.550048828125,2331.60009765625,939.9500122070312,3499.0,7230.85009765625,2314.64990234375,143.25,,222.89999389648438,438.1000061035156,1475.449951171875,3387.85009765625,274.1199951171875,150.14999389648438,1397.199951171875,588.7999877929688,45.599998474121094
2020-09-11,38854.55078125,293.04998779296875,2913.85009765625,1078.5,2991.39990234375,2373.699951171875,945.4000244140625,3543.35009765625,7190.14990234375,2318.85009765625,144.3000030517578,,218.0,444.70001220703125,1487.949951171875,3381.800048828125,274.1000061035156,154.25,1418.050048828125,597.5999755859375,46.0
2020-09-14,38756.62890625,307.1499938964844,2953.25,1057.9000244140625,3027.60009765625,2492.300048828125,977.9500122070312,3440.35009765625,7123.5498046875,2302.35009765625,148.39999389648438,,216.0500030517578,456.8999938964844,1479.199951171875,3431.800048828125,273.7699890136719,155.5,1415.6500244140625,620.3499755859375,46.150001525878906
2020-09-15,39044.3515625,307.29998779296875,2940.949951171875,1070.9000244140625,3038.449951171875,2490.25,981.9000244140625,3514.449951171875,7051.0,2317.89990234375,148.3000030517578,,217.25,455.3999938964844,1497.800048828125,3531.800048828125,273.8699951171875,155.5,1419.8499755859375,618.5,46.54999923706055
2020-09-16,39302.8515625,312.1000061035156,3037.550048828125,1093.5,3055.550048828125,2502.64990234375,1001.0499877929688,3519.75,7054.35009765625,2323.85009765625,151.60000610351562,,215.9499969482422,461.75,1492.949951171875,3540.10009765625,273.3599853515625,163.39999389648438,1420.25,620.5499877929688,46.45000076293945
2020-09-17,38979.8515625,311.6499938964844,3019.300048828125,1083.25,3062.050048828125,2460.050048828125,1010.6500244140625,3469.800048828125,7085.5498046875,2299.35009765625,147.60000610351562,,221.14999389648438,457.1499938964844,1471.949951171875,3515.300048828125,274.2799987792969,156.8000030517578,1397.449951171875,622.0499877929688,45.599998474121094
2020-09-18,38845.8203125,316.5,3048.699951171875,1057.4000244140625,3114.25,2450.75,1002.5499877929688,3475.449951171875,6963.2998046875,2305.5,147.89999389648438,,220.10000610351562,456.70001220703125,1453.9000244140625,3488.449951171875,280.7699890136719,161.0500030517578,1372.949951171875,609.9500122070312,45.04999923706055
2020-09-21,38034.140625,311.95001220703125,2984.449951171875,1048.699951171875,3053.199951171875,2464.60009765625,1009.2999877929688,3327.949951171875,6622.35009765625,2255.14990234375,137.39999389648438,,210.5500030517578,453.0,1446.0999755859375,3401.699951171875,279.3900146484375,152.1999969482422,1368.949951171875,600.0499877929688,42.849998474121094
2020-09-22,37734.078125,312.25,2983.5,1036.0,3000.699951171875,2523.550048828125,1007.2000122070312,3304.39990234375,6434.64990234375,2211.14990234375,133.10000610351562,,197.0,442.70001220703125,1426.3499755859375,3340.89990234375,271.239990234375,149.0500030517578,1342.5999755859375,593.75,42.349998474121094
2020-09-23,37668.421875,314.5,2983.85009765625,1047.550048828125,2958.35009765625,2467.14990234375,1019.6500244140625,3242.85009765625,6503.5,2229.550048828125,131.35000610351562,,191.75,442.1499938964844,1419.3499755859375,3383.10009765625,274.510009765625,150.4499969482422,1354.4000244140625,588.7000122070312,41.54999923706055
2020-09-24,36553.6015625,304.6000061035156,2930.39990234375,1029.949951171875,2918.14990234375,2331.5,975.3499755859375,3027.89990234375,6295.85009765625,2181.14990234375,122.80000305175781,,190.0500030517578,433.6499938964844,1399.9000244140625,3376.64990234375,267.57000732421875,146.25,1372.75,580.2999877929688,39.79999923706055
2020-09-25,37388.66015625,313.8999938964844,2960.35009765625,1044.050048828125,3000.449951171875,2422.300048828125,1011.0499877929688,3138.25,6496.14990234375,2201.699951171875,127.3499984741211,,198.35000610351562,447.20001220703125,1413.3499755859375,3447.89990234375,270.5899963378906,151.3000030517578,1414.949951171875,593.5499877929688,41.599998474121094
2020-09-28,37981.62890625,311.54998779296875,2963.35009765625,1054.050048828125,3088.60009765625,2425.35009765625,1009.5,3335.75,6707.0,2215.75,132.85000610351562,,208.60000610351562,471.75,1435.5999755859375,3585.0,273.32000732421875,157.75,1440.5,620.6500244140625,43.349998474121094
